                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 2.2529,                 2.3031,                 2.7679,                0.38946,                0.35211,                0.34454,                0.14771,                 2.1032,                 2.2593,                 2.7254,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.2296,                 2.4063,                 2.7734,                0.39571,                0.42254,                0.36712,                0.15737,                 2.0685,                 2.2329,                 2.6981,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.0393,                 2.2725,                 2.6402,                0.34533,                0.42254,                0.36815,                0.15632,                 2.0746,                 2.2256,                 2.6993,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.0327,                 2.4061,                 2.7304,                0.50247,                0.27032,                0.36749,                0.15484,                 2.0978,                 2.2071,                 2.7113,               0.000317,               0.000317,               0.000317
                     87,                 2.0332,                 2.4167,                 2.7193,                0.32635,                0.39437,                 0.3568,                0.15503,                 2.0956,                 2.1713,                 2.7052,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.2509,                 2.4384,                 2.7782,                0.36767,                0.42254,                0.37018,                0.16557,                 2.0658,                 2.1278,                 2.6888,              0.0002774,              0.0002774,              0.0002774
                     89,                 2.0226,                 2.3137,                 2.6668,                0.39686,                0.41708,                0.36851,                0.16904,                 2.0352,                 2.0982,                 2.6708,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.3327,                 2.3994,                 2.8456,                0.43923,                0.47887,                 0.3769,                0.17236,                 2.0014,                 2.0786,                  2.643,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.9689,                 2.5239,                 2.7378,                0.48717,                0.44159,                0.41047,                0.18669,                 1.9632,                  2.081,                 2.6205,               0.000218,               0.000218,               0.000218
                     92,                 2.1864,                 2.6524,                 2.7872,                0.43049,                0.53521,                 0.4229,                0.19018,                 1.9513,                 2.0888,                 2.6157,              0.0001982,              0.0001982,              0.0001982
                     93,                 2.0425,                 2.5268,                 2.7447,                0.43912,                0.52113,                0.43051,                0.18732,                 1.9529,                 2.0923,                 2.6218,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.2643,                 2.4749,                 2.7036,                0.44158,                0.53521,                0.42983,                0.19531,                 1.9376,                 2.0991,                 2.6158,              0.0001586,              0.0001586,              0.0001586
                     95,                 2.1352,                 2.4793,                  2.938,                0.45439,                0.49265,                0.41413,                0.19409,                 1.9135,                 2.0861,                  2.595,              0.0001388,              0.0001388,              0.0001388
                     96,                 2.0723,                 2.3329,                 2.5819,                 0.4401,                0.49296,                0.42202,                0.20611,                 1.8921,                 2.0696,                 2.5621,               0.000119,               0.000119,               0.000119
                     97,                 2.0891,                 2.4329,                 2.7264,                0.40833,                0.47887,                0.43084,                0.21893,                 1.8735,                 2.0524,                 2.5455,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.9292,                 2.5844,                 2.6814,                0.42169,                0.47887,                0.42917,                0.22096,                 1.8549,                 2.0296,                 2.5302,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.8824,                 2.3511,                 2.5387,                0.44667,                0.47887,                0.43826,                0.22597,                 1.8451,                 2.0183,                 2.5198,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 2.0076,                 2.4052,                 2.7149,                0.44959,                0.47887,                0.44431,                0.22629,                 1.8368,                 2.0116,                 2.5167,               3.98e-05,               3.98e-05,               3.98e-05
